,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,tilichiki,100,RU,1579995998,84,60.47,166.1,25.5,18.05
1,busselton,19,AU,1579996013,42,-33.65,115.33,78.01,8.79
2,moussoro,0,TD,1579996025,17,13.64,16.49,61.05,13.6
3,rikitea,18,PF,1579995920,77,-23.12,-134.97,79.25,14.03
4,upernavik,78,GL,1579996026,95,72.79,-56.15,-13.83,6.85
5,vardo,100,NO,1579996027,70,70.37,31.11,23.18,28.57
6,kapaa,40,US,1579996013,78,22.08,-159.32,78.8,12.75
7,bluff,46,NZ,1579996027,51,-46.6,168.33,70.05,5.82
8,huarmey,99,PE,1579996027,64,-10.07,-78.15,76.78,6.24
9,onokhoy,0,RU,1579996027,75,51.93,108.07,-20.2,2.24
10,bredasdorp,31,ZA,1579995921,68,-34.53,20.04,64.4,12.75
11,abu samrah,0,SY,1579996032,56,35.3,37.18,38.28,8.23
12,atuona,62,PF,1579996032,78,-9.8,-139.03,80.78,15.21
13,puerto ayora,75,EC,1579996032,74,-0.74,-90.35,80.6,4.7
14,bandarbeyla,84,SO,1579996032,82,9.49,50.81,78.55,20.42
15,ghazipur,0,IN,1579996032,89,25.58,83.57,48.29,4.61
16,ushuaia,75,AR,1579995947,53,-54.8,-68.3,51.8,23.04
17,tambun,20,ID,1579996033,100,-6.26,107.07,79.0,1.39
18,manto,0,HN,1579996033,78,14.92,-86.38,63.73,3.29
19,broome,90,US,1579996033,99,42.25,-75.83,36.0,3.36
20,port hardy,75,CA,1579995926,81,50.7,-127.42,48.2,18.34
21,yar-sale,86,RU,1579996034,99,66.83,70.83,-4.4,5.35
22,uvalde,90,US,1579996034,88,29.37,-99.77,63.0,4.7
23,kaitangata,66,NZ,1579995822,80,-46.28,169.85,58.48,10.56
24,pangody,83,RU,1579996032,98,65.85,74.49,-2.52,3.24
25,norman wells,20,CA,1579996035,63,65.28,-126.83,-9.4,11.41
26,saskylakh,100,RU,1579996011,92,71.92,114.08,-20.0,17.58
27,ojinaga,1,MX,1579996035,28,29.57,-104.42,69.8,5.82
28,hithadhoo,100,MV,1579996023,79,-0.6,73.08,82.65,14.88
29,iqaluit,20,CA,1579995762,66,63.75,-68.51,-29.0,11.41
30,necochea,2,AR,1579996035,57,-38.55,-58.74,64.99,3.0
31,namibe,7,AO,1579996036,73,-15.2,12.15,74.95,11.05
32,nuristan,3,AF,1579996036,67,35.3,70.83,-7.37,7.45
33,barrow,1,US,1579996022,100,71.29,-156.79,-29.2,10.29
34,sinazongwe,0,ZM,1579996036,79,-17.26,27.46,75.29,4.36
35,vaini,90,TO,1579995923,88,-21.2,-175.2,80.6,11.41
36,castro,9,BR,1579996036,72,-24.79,-50.01,65.7,3.38
37,praia da vitoria,40,PT,1579996037,93,38.73,-27.07,53.6,5.23
38,jamestown,90,US,1579996037,86,42.1,-79.24,36.0,5.82
39,hambantota,62,LK,1579996037,73,6.12,81.12,78.12,20.98
40,ondjiva,51,AO,1579996037,56,-17.07,15.73,76.6,6.53
41,mataura,73,NZ,1579996011,61,-46.19,168.86,74.73,1.39
42,xining,0,CN,1579996037,77,36.62,101.77,10.15,4.61
43,pitea,98,SE,1579996037,92,65.32,21.48,23.0,3.36
44,hamilton,90,US,1579995910,94,39.18,-84.53,35.6,16.11
45,arraial do cabo,0,BR,1579996038,83,-22.97,-42.03,75.79,9.4
46,punta arenas,40,CL,1579995924,66,-53.15,-70.92,50.0,28.86
47,yellowknife,90,CA,1579996038,85,62.46,-114.35,10.4,6.93
48,hofn,87,IS,1579996038,91,64.25,-15.21,36.64,5.48
49,hobart,75,AU,1579995944,72,-42.88,147.33,73.0,9.17
50,khatanga,57,RU,1579996038,91,71.97,102.5,-24.14,2.89
51,verdun,8,FR,1579996038,97,49.25,5.33,36.0,1.99
52,bethel,90,US,1579996010,100,41.37,-73.41,51.8,4.76
53,malindi,100,KE,1579996039,92,-3.22,40.12,76.66,2.37
54,clarence town,38,AU,1579996039,66,-32.58,151.78,93.0,8.05
55,cape town,75,ZA,1579995925,82,-33.93,18.42,66.0,12.75
56,wanning,100,CN,1579996039,92,18.8,110.4,66.27,10.54
57,san cristobal,40,VE,1579996039,69,7.77,-72.22,80.6,2.24
58,acajutla,0,SV,1579996039,56,13.59,-89.83,80.01,6.15
59,alofi,95,NU,1579996040,83,-19.06,-169.92,84.2,9.17
60,moose factory,90,CA,1579996040,100,51.26,-80.61,24.8,3.36
61,mayo,75,US,1579996040,87,38.89,-76.51,46.99,4.7
62,safford,1,US,1579996040,42,32.83,-109.71,63.0,8.05
63,saint-philippe,79,RE,1579996013,78,-21.36,55.77,75.2,8.05
64,omsukchan,100,RU,1579996040,100,62.53,155.8,-30.5,9.44
65,ostrovnoy,65,RU,1579996040,99,68.05,39.51,0.63,8.19
66,saint-pierre,87,RE,1579996041,78,-21.34,55.48,75.2,8.05
67,north bend,90,US,1579996041,100,43.41,-124.22,57.0,6.93
68,hasaki,75,JP,1579996041,100,35.73,140.83,39.2,2.24
69,avarua,99,CK,1579996041,83,-21.21,-159.78,84.2,10.29
70,klaksvik,100,FO,1579996042,87,62.23,-6.59,44.6,10.29
71,ca mau,83,VN,1579996042,94,9.18,105.15,71.92,2.98
72,hualmay,94,PE,1579995957,73,-11.1,-77.61,73.54,3.8
